tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene1	-	-	gene1	LOC100757647	-	NW_003613580.1:690690-691138	448	0.418496	0.0966471	0	0.289941	OK
gene0	-	-	gene0	LOC100754456	-	NW_003613580.1:387940-388591	651	0.228324	0.052729	0	0.158187	OK
rna3	-	-	gene3	Taf3	-	NW_003613580.1:1890885-2042119	4827	72.7116	9.086	8.65756	9.51444	OK
rna0	-	-	gene2	Gata3	-	NW_003613580.1:1834570-1855181	2815	1.45531	0.174319	0.0634678	0.285171	OK
rna1	-	-	gene2	Gata3	-	NW_003613580.1:1834570-1855181	2818	7.87509	0.943293	0.740231	1.14635	OK
rna2	-	-	gene2	Gata3	-	NW_003613580.1:1835889-1855181	1491	0	0	0	0.0363811	OK
rna6	-	-	gene5	Kin	-	NW_003613580.1:2073912-2085202	1179	94.5434	11.3469	10.2972	12.3965	OK
rna7	-	-	gene6	Itih2	-	NW_003613580.1:2087447-2123023	2841	0.0383702	0.00886118	0	0.0265835	OK
gene8	-	-	gene8	LOC100754742	-	NW_003613580.1:2314031-2325726	1179	0.832773	0.16828	0.0410723	0.295488	OK
gene11	-	-	gene11	LOC100755035	-	NW_003613580.1:2852800-2853430	630	0	0	0	0	OK
rna16	-	-	gene12	Prkcq	-	NW_003613580.1:3070832-3148598	2824	0.0772392	0.00891878	0	0.0343164	OK
rna15	-	-	gene12	Prkcq	-	NW_003613580.1:3070832-3148598	3013	0	0	0	0.0166354	OK
gene15	-	-	gene15	LOC100764500	-	NW_003613580.1:3445003-3446126	1123	0	0	0	0	OK
rna4	-	-	gene4	LOC100760824	-	NW_003613580.1:2053759-2073799	1173	1841.36	221.183	210.605	231.76	OK
rna5	-	-	gene4	LOC100760824	-	NW_003613580.1:2056605-2073799	1008	1032.63	124.038	116.897	131.179	OK
rna22	-	-	gene16	Il2ra	-	NW_003613580.1:3476705-3512272	879	0	0	0	0	OK
rna23	-	-	gene17	Il15ra	-	NW_003613580.1:3528537-3556500	1343	36.0075	4.31846	3.71583	4.92109	OK
rna8	-	-	gene7	Itih5	-	NW_003613580.1:2143946-2242481	5949	279.223	34.3234	33.5628	35.084	OK
rna21	-	-	gene14	Rbm17	-	NW_003613580.1:3420881-3442295	1712	919.801	113.951	111.249	116.654	OK
rna26	-	-	gene19	Ankrd16	-	NW_003613580.1:3611787-3622541	1958	2.66555	0.331154	0.167142	0.495166	OK
rna27	-	-	gene19	Ankrd16	-	NW_003613580.1:3611791-3622812	2047	0	0	0	0.0253772	OK
rna28	-	-	gene19	Ankrd16	-	NW_003613580.1:3611798-3622812	2191	0	0	0	0.0235337	OK
rna29	-	-	gene19	Ankrd16	-	NW_003613580.1:3611804-3622812	2113	13.4251	1.66786	1.35993	1.97579	OK
rna25	-	-	gene18	Fbxo18	-	NW_003613580.1:3576522-3611310	3235	139.908	17.023	15.8997	18.1463	OK
rna24	-	-	gene18	Fbxo18	-	NW_003613580.1:3576522-3611483	3380	98.314	11.9621	11.0588	12.8655	OK
rna34	-	-	gene23	Calml3	-	NW_003613580.1:3924479-3924929	450	0	0	0	0	OK
rna35	-	-	gene24	Calml5	-	NW_003613580.1:3955473-3955920	447	0	0	0	0	OK
rna36	-	-	gene24	Calml5	-	NW_003613580.1:3955473-3955920	408	0	0	0	0	OK
rna33	-	-	gene22	Asb13	-	NW_003613580.1:3768022-3788181	1695	44.3168	5.35157	4.76861	5.93453	OK
rna41	-	-	gene27	Ucn3	-	NW_003613580.1:4035574-4036063	489	0	0	0	0	OK
rna42	-	-	gene28	LOC100768090	-	NW_003613580.1:4168007-4184938	982	0	0	0	0	OK
rna43	-	-	gene29	LOC100768376	-	NW_003613580.1:4191247-4209732	1084	0	0	0	0	OK
rna40	-	-	gene26	Tubal3	-	NW_003613580.1:4022396-4031656	1743	0.0658301	0.0152028	0	0.0456083	OK
rna44	-	-	gene30	LOC100768666	-	NW_003613580.1:4227165-4243716	1132	0	0	0	0	OK
rna46	-	-	gene32	LOC100769236	-	NW_003613580.1:4303054-4323029	1341	0.178405	0.0206004	0	0.0618012	OK
rna45	-	-	gene31	LOC100768959	-	NW_003613580.1:4275890-4294869	1551	0.376233	0.0521322	0	0.112329	OK
rna47	-	-	gene33	LOC100769523	-	NW_003613580.1:4335419-4348793	972	0	0	0	0	OK
gene34	-	-	gene34	LOC100769807	-	NW_003613580.1:4372387-4389409	966	0	0	0	0	OK
gene35	-	-	gene35	LOC100756193	-	NW_003613580.1:4395665-4399425	589	0	0	0	0	OK
rna48	-	-	gene36	LOC100770100	-	NW_003613580.1:4425762-4443295	1019	0	0	0	0	OK
rna49	-	-	gene37	LOC100770388	-	NW_003613580.1:4488184-4517582	972	0	0	0	0	OK
gene38	-	-	gene38	LOC100756485	-	NW_003613580.1:4518706-4526455	602	0	0	0	0	OK
gene40	-	-	gene40	LOC100756782	-	NW_003613580.1:4950226-4950679	453	0	0	0	0	OK
rna52	-	-	gene41	LOC103160728	-	NW_003613580.1:5535581-5537226	1273	0.664316	0.0876667	0	0.175376	OK
